NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Original Sin,285,45790.95,"All Elemental Damage Converted to Chaos Damage (), Nearby Enemies' Chaos Resistance is 0 ()"
Mageblood,275,44184.25,"+(30-60) to Dexterity (), +(15-30)% to Fire Resistance (), +(15-28)% to Cold Resistance (), Magic Utility Flasks cannot be Used (), Leftmost (2-4) Magic Utility Flasks constantly apply their Flask Effects to you (), Magic Utility Flask Effects cannot be removed ()"
Nimis,178,28599.26,"+(30-60) to Dexterity (), (25-35)% increased Projectile Damage (), Projectiles Return to you (), Projectiles are fired in random directions ()"
Headhunter,83.99,13494.67,"+(40-66) to Strength (), +(40-66) to Dexterity (), +(50-70) to maximum Life (), (20-30)% increased Damage with Hits against Rare monsters (), When you Kill a Rare monster, you gain its Modifiers for 60 seconds ()"
Stranglegasp,42.2,6780.27,Can have 3 additional Enchantment Modifiers ()
Curio of Absorption,15,2410.05,
Kalandra's Touch,12,1928.04,Reflects your other Ring ()
Uul-Netol's Vow,9,1446.03,"Socketed Support Gems can also Support Skills from Equipped Body Armour (), +(-30-30)% to Fire Resistance (), +(-30-30)% to Cold Resistance (), +(-30-30)% to Lightning Resistance (), +(-23-23)% to Chaos Resistance ()"
Defiance of Destiny,6,964.02,"+(60-96) to maximum Life (), +(10-46)% to Fire Resistance (), +(10-48)% to Cold Resistance (), +(10-44)% to Lightning Resistance (), Gain (10-24)% of Missing Unreserved Life before being Hit by an Enemy ()"
Curio of Decay,3,481.87,
Curio of Consumption,2.4,385.61,
Voice of the Storm,2.3,369.54,"+(10-18) to all Attributes (), (50-60)% increased Lightning Damage (), (10-22)% increased maximum Mana (), Lightning Damage with Non-Critical Strikes is Lucky ()"
Uzaza's Valley,2.24,359.9,"+20 to Dexterity (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
The Torrent's Reclamation,2,321.34,"Grants Summon Greater Harbinger of Time Skill (), (10-15)% increased Energy Shield Recovery rate (), (10-15)% increased Life Recovery rate (), (10-16)% increased Attack and Cast Speed (), (15-20)% increased Cooldown Recovery Rate (), Debuffs on you expire (15-20)% faster ()"
Replica Headhunter,2,321.34,"+(40-66) to Strength (), +(40-64) to Dexterity (), +(50-72) to maximum Life (), (20-30)% increased Damage with Hits against Magic monsters (), 20% chance when you Kill a Magic Monster to gain its Modifiers for 60 seconds ()"
Crystallised Omniscience,2,321.34,"Modifiers to Attributes instead apply to Omniscience (), +1% to all Elemental Resistances per 15 Omniscience (), Penetrate 1% Elemental Resistances per 15 Omniscience (), Attribute Requirements can be satisfied by (15-25)% of Omniscience ()"
Arn's Anguish,2,321.34,"+(608-700) to Armour (), (12-15)% increased maximum Life (), +(43-60)% to Fire Resistance (), +1 to Maximum Endurance Charges (), Modifiers to Minimum Endurance Charges instead apply to Minimum Brutal Charges (), Maximum Brutal Charges is equal to Maximum Endurance Charges (), Gain Brutal Charges instead of Endurance Charges ()"
Putembo's Mountain,1.81,290.81,"+20 to Intelligence (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Presence of Chayula,1.8,289.21,"30% increased Rarity of Items found (), +60% to Chaos Resistance (), Cannot be Stunned (), (20-24)% of Maximum Life Converted to Energy Shield ()"
Impresence,1.6,257.07,"Adds (11-13) to (43-47) Lightning Damage (), +(50-63) to maximum Life (), +(20-24)% to Lightning Resistance (), Regenerate 1% of Energy Shield per second (), Conductivity has no Reservation if Cast as an Aura (), Temporal Chains has no Reservation if Cast as an Aura (), Punishment has no Reservation if Cast as an Aura (), Enfeeble has no Reservation if Cast as an Aura (), Gain Maddening Presence for 10 seconds when you Kill a Rare or Unique Enemy ()"
